rank,title,desc,runtime,genre,rating,votes,director,metascore
1,13 Hours,"During an attack on a U.S. compound in Libya, a security team struggles to make sense out of the chaos.",144,Action,7.3,155234,Michael Bay,48.0
2,Terrifier,"On Halloween night, Tara Heyes finds herself as the obsession of a sadistic murderer known as Art the Clown.",85,Horror,5.6,48568,Damien Leone,
3,Suicide Squad,A secret government agency recruits some of the most dangerous incarcerated super-villains to form a defensive task force. Their first mission: save the world from the apocalypse.,123,Action,5.9,710994,David Ayer,40.0
4,Hacksaw Ridge,"World War II American Army Medic Desmond T. Doss, serving during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.",139,Biography,8.1,573353,Mel Gibson,71.0
5,The Nice Guys,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.",116,Action,7.4,358550,Shane Black,70.0
6,La La Land,"While navigating their careers in Los Angeles, a pianist and an actress fall in love while attempting to reconcile their aspirations for the future.",128,Comedy,8.0,640696,Damien Chazelle,94.0
7,Moana,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.",107,Animation,7.6,364419,Ron Clements,81.0
8,Deadpool,"A wisecracking mercenary gets experimented on and becomes immortal yet hideously scarred, and sets out to track down the man who ruined his looks.",108,Action,8.0,1095167,Tim Miller,65.0
9,Arrival,A linguist works with the military to communicate with alien lifeforms after twelve mysterious spacecraft appear around the world.,116,Drama,7.9,743088,Denis Villeneuve,81.0
10,Trolls,"After the Bergens invade Troll Village, Poppy, the happiest Troll ever born, and the curmudgeonly Branch set off on a journey to rescue her friends.",92,Animation,6.4,88581,Mike Mitchell,55.0
11,Split,Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,117,Horror,7.3,534222,M. Night Shyamalan,63.0
12,Ah-ga-ssi,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.",145,Drama,8.1,165072,Park Chan-wook,85.0
13,Hell or High Water,"Toby is a divorced father who's trying to make a better life. His brother is an ex-con with a short temper and a loose trigger finger. Together, they plan a series of heists against the bank that's about to foreclose on their family ranch.",102,Crime,7.6,245411,David Mackenzie,88.0
14,Me Before You,A girl in a small town forms an unlikely bond with a recently-paralyzed man she's taking care of.,110,Drama,7.4,276971,Thea Sharrock,51.0
