date,ind,rain,ind,maxt,ind,mint,gmin,soil
01-Jan-09,0,0,0,4.5,1,-0.7,-4.7, 
02-Jan-09,0,0,0,5.8,0,2.8,0.3, 
03-Jan-09,0,0,0,4.7,0,3.1,1.5, 
04-Jan-09,0,1,0,3.2,0,0.9,-2.1, 
05-Jan-09,0,0,0,5.4,1,-4.1,-6.8, 
06-Jan-09,0,0,0,1.6,1,-2.4,-4.9, 
07-Jan-09,0,0,0,2.6,1,-4.5,-7.3, 
08-Jan-09,0,0,0,4.7,1,-2.2,-7.3, 
09-Jan-09,0,0,0,7.4,1,-2.9,-7.6, 
10-Jan-09,0,0.1,0,10.4,1,-2.8,-6.8, 
11-Jan-09,0,10,0,11.9,0,7.3,5.4, 
12-Jan-09,0,6.6,0,9.4,0,7.7,4.4, 
13-Jan-09,0,0.1,0,6.5,0,3.6,0.8, 
14-Jan-09,0,0.9,0,11.4,1,-1.8,-5.1, 
15-Jan-09,0,2.8,0,11.9,0,3.8,1, 
16-Jan-09,0,0.6,0,9.8,0,4.5,0.5, 
17-Jan-09,0,9.6,0,8.9,0,3,0.5, 
18-Jan-09,0,7.7,0,5.9,0,0.3,-0.5, 
19-Jan-09,0,0.2,0,3.3,0,1.6,-0.7, 
20-Jan-09,0,2.5,0,3.8,0,1.3,-0.4, 
21-Jan-09,0,2.6,0,10.7,0,0.8,-2.3, 
22-Jan-09,0,0.9,0,7.1,0,2.3,0.4, 
23-Jan-09,0,0,0,6.1,0,0.5,-2.2, 
24-Jan-09,0,0.7,0,8.3,0,0.3,-4.5, 
25-Jan-09,0,3.5,0,7.4,0,1.8,-1, 
26-Jan-09,0,3.6,0,8.3,0,0.6,-2, 
27-Jan-09,0,0.1,0,8.6,0,2.2,-1.9, 
28-Jan-09,0,0,0,9.4,1,-0.4,-4.3, 
29-Jan-09,0,0.5,0,10.7,1,-0.7,-3.5, 
30-Jan-09,0,2.9,0,11.3,0,6.6,6, 
31-Jan-09,0,0.1,0,6.8,0,5.3,4.5, 
01-Feb-09,0,1.3,0,4,0,2.7,0.7, 
02-Feb-09,0,18.1,0,3.4,1,-0.5,-4.4, 
03-Feb-09,0,34.8,0,3.8,1,-0.3,-1.4, 
04-Feb-09,0,0.1,0,4.8,0,0.3,-0.2, 
05-Feb-09,0,6.4,0,1.5,1,-0.2,-1.3, 
06-Feb-09,0,0,0,3.7,1,-2.5,-5.7, 
07-Feb-09,0,0.4,0,4.8,1,-1.7,-4.7, 
08-Feb-09,0,5,0,4.3,1,-3.2,-5.7, 
09-Feb-09,0,0,0,3.7,1,-0.6,-4.5, 
10-Feb-09,0,0.1,0,6.5,1,-0.4,-2.4, 
11-Feb-09,0,0.1,0,6,0,0.9,-2.9, 
12-Feb-09,0,0.8,0,8.5,0,0.2,-2, 
13-Feb-09,0,0,0,9.3,0,2.8,1, 
14-Feb-09,0,0,0,9.5,0,4.3,3, 
15-Feb-09,0,0,0,11.4,0,5,3.2, 
16-Feb-09,0,0,0,10.4,0,3.7,-0.3, 
17-Feb-09,0,0,0,12.2,0,5,0.8, 
18-Feb-09,0,0.1,0,8.8,0,5.4,3.6, 
